epoch,accuracy,loss,val_accuracy,val_loss
1,0.7000,0.6329,0.8286,0.5653
2,0.7964,0.5501,0.8286,0.4778
3,0.8000,0.5623,0.8286,0.4543
4,0.8071,0.5028,0.8286,0.4413
5,0.8000,0.5145,0.8286,0.4114
6,0.8036,0.4737,0.8286,0.3826
7,0.8357,0.4410,0.8286,0.3613
8,0.8107,0.4802,0.8143,0.3442
9,0.8429,0.4149,0.8429,0.3273
10,0.8500,0.4024,0.8429,0.3153
11,0.8357,0.3800,0.8714,0.2932
12,0.8357,0.3569,0.9000,0.2702
13,0.8429,0.3853,0.9286,0.2517
14,0.8429,0.3507,0.9286,0.2573
15,0.8429,0.3450,0.9429,0.2367
16,0.8571,0.3633,0.9429,0.2331
17,0.8714,0.3133,0.9429,0.2288
18,0.8679,0.3337,0.9429,0.2250
19,0.8857,0.2892,0.9429,0.2366
20,0.8786,0.3018,0.9429,0.2252
21,0.8679,0.2999,0.9429,0.2241
22,0.8893,0.3086,0.9429,0.2245
23,0.8821,0.2799,0.9429,0.2384
24,0.8857,0.2687,0.9429,0.2121
25,0.9036,0.2395,0.9429,0.1997
26,0.8893,0.2969,0.9429,0.2017
27,0.8857,0.2496,0.9429,0.2028
28,0.9071,0.2593,0.9429,0.1884
29,0.8714,0.2929,0.9429,0.2031
30,0.9214,0.2490,0.9429,0.2043
31,0.9250,0.2350,0.9429,0.2043
32,0.8857,0.3059,0.9286,0.1968
33,0.8964,0.2659,0.9571,0.2022
34,0.9179,0.2494,0.9571,0.1968
35,0.9071,0.2598,0.9429,0.1891
36,0.9036,0.2245,0.9286,0.1800
37,0.9214,0.2205,0.9571,0.1706
38,0.9036,0.2464,0.9571,0.1688
39,0.9250,0.2709,0.9571,0.1826
40,0.9250,0.2531,0.9571,0.1836
41,0.9071,0.2588,0.9429,0.1656
42,0.9071,0.2225,0.9429,0.1651
43,0.9500,0.1765,0.9429,0.1577
44,0.9179,0.2141,0.9429,0.1570
45,0.9179,0.2391,0.9571,0.1453
46,0.9214,0.2475,0.9571,0.1566
47,0.9214,0.1938,0.9571,0.1481
48,0.9179,0.2160,0.9571,0.1516
49,0.9321,0.2159,0.9571,0.1471
50,0.9214,0.2056,0.9571,0.1479
51,0.9214,0.2281,0.9571,0.1474
52,0.9464,0.1811,0.9429,0.1462
53,0.9393,0.1788,0.9429,0.1402
54,0.9536,0.1842,0.9429,0.1431
55,0.9393,0.1725,0.9429,0.1479
56,0.9214,0.2274,0.9429,0.1460
57,0.9286,0.2066,0.9429,0.1400
58,0.9321,0.1960,0.9429,0.1437
59,0.9250,0.2172,0.9429,0.1533
60,0.9536,0.1722,0.9429,0.1631
61,0.9536,0.1996,0.9429,0.1525
62,0.9393,0.1871,0.9429,0.1500
63,0.9393,0.2262,0.9429,0.1518
64,0.9429,0.1954,0.9429,0.1417
65,0.9393,0.1739,0.9429,0.1503
66,0.9607,0.1707,0.9429,0.1524
67,0.9571,0.1827,0.9429,0.1450
68,0.9607,0.1422,0.9429,0.1474
69,0.9500,0.1673,0.9429,0.1547
70,0.9464,0.1799,0.9429,0.1407
71,0.9536,0.1372,0.9429,0.1499
72,0.9500,0.1490,0.9429,0.1373
73,0.9607,0.1329,0.9429,0.1353
74,0.9536,0.1770,0.9429,0.1790
75,0.9571,0.1512,0.9429,0.1586
76,0.9643,0.1262,0.9429,0.1699
77,0.9500,0.1720,0.9429,0.1771
78,0.9643,0.1368,0.9429,0.1670
79,0.9250,0.1600,0.9429,0.1787
80,0.9464,0.1512,0.9429,0.1539
81,0.9536,0.1515,0.9429,0.1328
82,0.9500,0.1603,0.9571,0.1303
83,0.9500,0.1380,0.9429,0.1477
84,0.9536,0.1611,0.9429,0.1720
85,0.9500,0.1564,0.9429,0.1566
86,0.9643,0.1618,0.9429,0.1512
87,0.9571,0.1593,0.9429,0.1339
88,0.9536,0.1534,0.9571,0.1456
89,0.9429,0.1527,0.9571,0.1309
90,0.9571,0.1597,0.9571,0.0984
91,0.9500,0.1489,0.9571,0.1250
92,0.9571,0.1692,0.9571,0.1241
93,0.9607,0.1458,0.9571,0.1265
94,0.9500,0.1730,0.9571,0.1027
95,0.9571,0.1338,0.9571,0.1502
96,0.9679,0.1263,0.9571,0.1099
97,0.9464,0.1484,0.9571,0.1068
98,0.9643,0.1347,0.9571,0.1143
99,0.9429,0.1502,0.9571,0.1163
100,0.9571,0.1503,0.9571,0.1078
